ID,1. How old are you? ,2. What is your gender?,3. What is the highest degree or level of education you have completed?,4. What is your occupation? (specify your major if it is student),5. Do you have any experience using VR devices or applications? ,6. Do you have any experience using force feedback gloves? ,7. Do you have any experience related to rehabilitation? ,8. Do you have any experience with VR rehabilitation? 
1,22,Male,Bachelor's degree,Electronics Engineering,Some,No,No,No
2,26,Male,Master's degree,Electronics Engineering,No,No,No,No
3,25,Female,Master's degree,Electronics Engineering,No,No,No,No
4,24,Male,Master's degree,Electronics Engineering,No,No,No,No
5,23,Male,Master's degree,Electronics Engineering,No,No,No,No
6,25,Male,Master's degree,Electronics Engineering,No,No,No,No
7,24,Male,Master's degree,Electronics Engineering,Limited,No,No,No
8,23,Male,Master's degree,Electronics Engineering,No,No,No,No
9,24,Male,Master's degree,Electronics Engineering,No,No,No,No
10,23,Male,Master's degree,Electronics Engineering,No,No,No,No
11,22,Male,Bachelor's degree,Electronics Engineering,No,No,No,No
12,22,Male,Master's degree,Computer Science,Limited,No,No,No
13,26,Male,Master's degree,Electronics Engineering,No,No,No,No
14,26,Male,Master's degree,Electronics Engineering,No,No,No,No
